,ï»¿ArticleTitle,Question,Answer,DifficultyFromQuestioner,DifficultyFromAnswerer,ArticleFile,ArticleTitle
56,Liechtenstein,is it a winter sports resort,yes,,medium,S08_set2_a1,
57,kangaroo,what is used to protect a vehicale from a kangaroo,roo bars,hard,hard,S08_set1_a1,
58,,was tesla hired by edison,yes,easy,easy,S09_set4_a3,Nikola_Tesla
59,kangaroo,when did the first official report of kangaroo blindness take place,1994,medium,medium,S08_set1_a1,
60,beetle,which defense mechanism uses colour or shape to deceive potential enemies,mimicry,medium,medium,S08_set1_a8,
61,,what would a tiger do when seized by a crocodile,a tiger will strike at the reptiles eyes with its paws,medium,medium,S09_set1_a3,Tiger
62,,what is the sanskrit word for swan,hamsa or hansa,medium,easy,S09_set1_a10,Swan
63,,is it a host city for the formula one world championship,yes,easy,medium,S10_set3_a3,Kuala_Lumpur
64,,was his father inspector of the royal fields,yes,,easy,S09_set4_a6,Charles-Augustin_de_Coulomb
65,,did pascal have poor health throughout his life,yes,easy,easy,S10_set4_a4,Blaise_Pascal
66,,what is the standardized form of spoken chinese,the standardized form of spoken chinese is standard mandarin,easy,medium,S10_set5_a7,Chinese_language
67,kangaroo,have kangaroos dazzled by headlights or startled by engine noise been known to leap in front of cars,yes,,easy,S08_set1_a1,
68,,where did volta enter retirement,spain,medium,medium,S09_set4_a10,Alessandro_Volta
69,,did caunte take control of the english throne in 101,no,easy,easy,S09_set3_a1,London
70,Canada,european books and maps began referring to this region as canada in what year,1545,,easy,S08_set2_a8,
71,Qatar,is rrb  officially the state of qatar lrb arabic   transliterated as dawlat qatar rrb  an arab emirate in southwest asia,yes,,easy,S08_set2_a3,
72,,does san francisco have a high percentage of gay and lesbian individuals,yes according to the 2005 american community survey san francisco has the highest percentage of gay and lesbian individuals of any of the 50 largest us cities at 154,easy,easy,S10_set3_a8,San_Francisco
73,Millard_Fillmore,what did taylor and fillmore disagree upon,taylor and fillmore disagreed on the slavery issue in the new western territories taken from mexico in the mexicanamerican war,hard,medium,S08_set3_a3,
74,,when did classical chinese literature begin,classical chinese literature began in the 14th to 11th centuires bce,medium,medium,S10_set5_a7,Chinese_language
75,,what is the boiling point of water dependent on,atmospheric pressure,medium,medium,S09_set4_a5,Anders_Celsius
76,,can a short bar follow a long bar,no,hard,hard,S09_set2_a8,Xylophone
77,elephant,what part of an elephant is very important for temperature regulation,ears,medium,medium,S08_set1_a5,
78,James_Monroe,what is the first number on the page,28,easy,too hard,S08_set3_a2,
79,,what is the official standard language used by the peoples republic of china the republic of china and singapore where it is called huayu,putonghua  guoyu often called mandarin,medium,medium,S10_set5_a7,Chinese_language
80,,how do most ants travel,most ants travel by walking,medium,medium,S10_set1_a1,Ant
81,,when was melbourne officially declared as a city,1847,medium,medium,S10_set3_a2,Melbourne
82,polar_bear,what is the last word on the page,connecticut,easy,too easy,S08_set1_a4,
83,,does a black moth mean that someone has died,in the philippines a black butterfly or moth mean that someone has died,easy,hard,S10_set1_a6,Butterfly
84,,is it possible to alter the word order to stress the importance of a certain phrase,yes,easy,easy,S10_set5_a8,Turkish_language
85,Henri_Becquerel,is it true that he married louise dãsirãe lorieux in 1890,yes,,easy,S08_set4_a9,
86,,is it true that he published his invention of the voltaic pile battery,yes,,easy,S09_set4_a10,Alessandro_Volta
87,James_Monroe,what is the first word on the page,james_monroe,easy,too hard,S08_set3_a2,
88,,what is the population of copenhagen,1153615,easy,hard,S09_set3_a8,Copenhagen
89,beetle,can beetles be found in almost all habitats,yes,,easy,S08_set1_a8,
90,,hence  can relative molecular masses be calculated from the masses of gas samples,yes,,easy,S09_set4_a8,Amedeo_Avogadro
91,,when did rockwell marry his first wife irene oconnor,in 1916,,medium,S10_set6_a4,Norman_Rockwell
92,,where is the bust of queen nefertiti,the bust of queen nefertiti is in the altes museum,medium,hard,S10_set3_a1,Berlin
93,Ghana,who is the head of state of ghana,president john agyekum kofuor,medium,easy,S08_set2_a5,
94,,what are characteristic features of finnish,vowel harmony and an agglutinative morphology,medium,medium,S10_set5_a5,Finnish_language
95,Singapore,is singapore located at the southern tip of the korean penisula,no,easy,easy,S08_set2_a2,
96,James_Monroe,when did james monroe die,july 4 1831,easy,medium,S08_set3_a2,
97,elephant,are elephants good swimmers,yes,easy,easy,S08_set1_a5,
98,Gerald_Ford,what positions ford played in the school football team,center and linebacker,medium,medium,S08_set3_a10,
99,,is he best known for developing coulombs law the definition of the electrostatic force of attraction and repulsion,yes,,easy,S10_set4_a6,Charles-Augustin_de_Coulomb
100,,what happens when the center of a cymbal is hit,it causes a sound which is in a higher register than the rest of the symbal,hard,hard,S09_set2_a6,Cymbal
101,,is the name of the upper shell of a turtle called the plastron,no,easy,hard,S09_set1_a4,Turtle
102,,is today he widely regarded as one of historys greatest painters and an important contributor to the foundations of modern art,yes,,easy,S10_set6_a7,Vincent_van_Gogh
103,turtle,if a turtle egg was kept warm what would likely hatch,a female turtle,hard,too hard,S08_set1_a9,
104,James_Monroe,where was james monroe shot,at the battle of trenton in his left shoulder,medium,medium,S08_set3_a2,
105,,is german an inflected  language,yes,,easy,S09_set5_a2,German_language
106,Calvin_Coolidge,was coolidge the thirteenth president of the united states,yes,easy,easy,S08_set3_a9,
107,,was tesla rich at the time of his death,no,hard,hard,S10_set4_a3,Nikola_Tesla
108,,is the trumpet the musical instrument with the highest register in the brass family,yes,easy,easy,S10_set2_a3,Trumpet
109,Egypt,when did organized agriculture appear in the nile valley,about 6000 bc,hard,medium,S08_set2_a6,
110,,what notable people have been named santiago,benito hugo and others,hard,hard,S09_set3_a6,Santiago
111,,what is the second main orchestral use of cymbals,the suspended cymbal,medium,medium,S09_set2_a6,Cymbal
112,Gray_Wolf,why do wolves howl,to pack members keep in touch allowing them to communicate effectively in thickly forested areas or over great distances,hard,too hard,S08_set1_a6,
113,,was faraday born in england,yes,easy,easy,S09_set4_a7,Michael_Faraday
114,Millard_Fillmore,who got seward elected to the senate,weed ultimately got seward elected to the senate,medium,medium,S08_set3_a3,
115,,was he a member of the royal superior council on public instruction,yes,easy,easy,S10_set4_a8,Amedeo_Avogadro
116,,did pascal write about cycloid before 1658,no,hard,hard,S10_set4_a4,Blaise_Pascal
117,,is the tuning gdae used for most violin music,yes,,easy,S10_set2_a2,Violin
118,,is the mechanism in an upright piano perpendicular to its keys,the mechanism in upright pianos is perpendicular to the keys,easy,easy,S10_set2_a1,Piano
119,turtle,are turtles ectothermic,yes,,easy,S08_set1_a9,
120,,are all dialects of korean similar to each other,yes,easy,easy,S10_set5_a6,Korean_language
121,Abraham_Lincoln,which county was lincoln born in,hardin county,medium,medium,S08_set3_a4,
122,otter,why are sea otters nearly extinct,theyve been hunted for their fur,hard,hard,S08_set1_a7,
123,,who was a member of the sandemanian sect of christianity,yes,medium,easy,S09_set4_a7,Michael_Faraday
124,Canada,where is the most densely populated part of canada,the most densely populated part of the country is the quebec citywindsor corridor along the great lakes and saint lawrence river in the southeast,medium,medium,S08_set2_a8,
125,Uruguay,is it the second smallest independent country in south america  larger only than suriname and the french overseas department of french guiana,yes,,easy,S08_set2_a9,
126,,can the origins of cymbals be traced back to prehistoric times,yes,easy,easy,S09_set2_a6,Cymbal
127,Liechtenstein,what enjoys one of the worlds highest standards of living,liechtensteins population,,medium,S08_set2_a1,
128,,are giraffes hunted for their hides,yes,easy,easy,S09_set1_a5,Giraffe
129,Theodore_Roosevelt,what was roosevelts justification for supporting desegregation of schools in new york,noting that his children had been educated with other races and there was nothing wrong with it,hard,too hard,S08_set3_a7,
130,,how many years ago did charlesaugustin de coulomb die,203,,hard,S09_set4_a6,Charles-Augustin_de_Coulomb
131,,what allows the butterfly to evade predators,a butterflys hind wings allow the butterfly to evade predators,hard,medium,S10_set1_a6,Butterfly
132,,what is a person that makes or repairs violins called,a luthier or simply a violin maker,hard,medium,S10_set2_a2,Violin
133,,what is the most common type of trumpet,the b trumpet,medium,medium,S09_set2_a3,Trumpet
134,,is vietnamese the official administrative language of vietnam,yes,easy,easy,S10_set5_a10,Vietnamese_language
135,,like many larger where cities san francisco is a minoritymajority city as nonhispanic whites comprise less than half of the population,us,,medium,S10_set3_a8,San_Francisco
136,,what is along the citys western border,taipei has the danshui river along its western border,medium,medium,S10_set3_a6,Taipei
137,beetle,is a beetles general anatomy uniform,yes,easy,medium,S08_set1_a8,
138,,are the modern chinese dialects more like a family,yes,,easy,S09_set5_a7,Chinese_language
139,,onefifth of world population speak some form of what,chinese,,medium,S09_set5_a7,Chinese_language
140,kangaroo,what kinds of changes have larger kangaroos adapted much better to,changes wrought to the australian landscape by humans,,medium,S08_set1_a1,
141,beetle,what is the study of beetles called,coleopterology,medium,medium,S08_set1_a8,
142,Gray_Wolf,what kinds of coats do wolves have,tough guard hairs that repel water and dirt and a dense waterresistant layer,medium,hard,S08_set1_a6,
143,,who was avogadros wife,felicita mazzé was avogadros wife,hard,hard,S10_set4_a8,Amedeo_Avogadro
144,James_Monroe,what does era of good feelings refers to,monroe allowed his political base to decay which reduced tensions and led to the naming of his era as the era of good feelings,hard,too hard,S08_set3_a2,
145,,do foxes damage fruit on farms,no,hard,hard,S09_set1_a6,Fox
146,Canada,is an official language of canada german,no,easy,easy,S08_set2_a8,
147,turtle,does the mother care for the young,no,easy,medium,S08_set1_a9,
148,Ulysses_S._Grant,was grants fatherinlaw a democrat,yup,easy,easy,S08_set3_a5,
149,,why do some people believe that lefthanded people should learn to play guitars as righthanded people do,to standardise the instrument,hard,hard,S10_set2_a7,Guitar
150,,has the terrain in the city been artificially raised,yes,easy,easy,S10_set3_a10,Saint_Petersburg
151,,where are the western arabic numerals used,north africa,medium,medium,S10_set5_a3,Arabic_language
152,,what was the faraday effect first called,diamagnetism,hard,medium,S09_set4_a7,Michael_Faraday
153,John_Adams,did the election of 1800 not become a bitter and volatile battle  with each side expressing extraordinary fear of the other party and its policies,no,,easy,S08_set3_a1,
154,,when did nikola tesla appear on the cover of time magazine,1931,medium,medium,S10_set4_a3,Nikola_Tesla
155,,where is collège des quatrenations located,in montpellier,hard,hard,S10_set4_a6,Charles-Augustin_de_Coulomb
156,Theodore_Roosevelt,did theodore roosevelt study judo,no,easy,easy,S08_set3_a7,
157,otter,why is the giant otter becoming increasingly rare,poaching habitat loss and the use of mercury in illegal alluvial gold mining,medium,medium,S08_set1_a7,
158,,is the xylophone a musical instrument,yes,easy,easy,S10_set2_a8,Xylophone
159,,where did he serve two terms,the church of scotland,,hard,S09_set4_a7,Michael_Faraday
160,Egypt,what countries border egypt,libya sudan the gaza strip and israel,medium,hard,S08_set2_a6,
161,,did faraday discover diamagnetism,yes,hard,easy,S10_set4_a7,Michael_Faraday
162,Abraham_Lincoln,when did lincoln first serve as president,march 4 1861,medium,hard,S08_set3_a4,
163,James_Monroe,when was james monroe appointed to secretary of war,1814,easy,medium,S08_set3_a2,
164,,why is arabic related to islam,arabic is the liturgical language of islam,hard,hard,S10_set5_a3,Arabic_language
165,elephant,is an elephants skin tough,yes,easy,easy,S08_set1_a5,
166,,what are violins made of,maple ebony sheep gut,hard,hard,S09_set2_a2,Violin
167,Gray_Wolf,forward erect ears and slightly bristle hackles are a sign of what in wolves,dominance,hard,hard,S08_set1_a6,
168,kangaroo,what do kangaroos use for crawlwalking,its hind feet,hard,medium,S08_set1_a1,
169,,have two of renoirs paintings sold for more than us0 million,yes any painting sells for more than 0 million though,,easy,S10_set6_a5,Pierre-Auguste_Renoir
170,Gray_Wolf,what is surplus killing,surplus killing is defined as the killing of several prey animals too numerous to eat at one sitting,hard,medium,S08_set1_a6,
171,,what part of the cymbal is the bell,the center of a cymbal,medium,medium,S10_set2_a6,Cymbal
172,,how many state parks are in san francisco,there is only one park managed by the california state park system candlestick point,medium,hard,S10_set3_a8,San_Francisco
173,,what are the most common cymbals,the most common cymbals are the hihats crash splash ride and china,medium,medium,S09_set2_a6,Cymbal
174,polar_bear,can polar bears be seen under infrared photography,only their breath and muzzles can be easily seen,hard,hard,S08_set1_a4,
175,,is swahili spoken in mozambique,yes,medium,hard,S10_set5_a4,Swahili_language
176,,was pascals earliest work in the natural and applied sciences where he made important contributions to the construction of mechanical calculators the study of fluids and clarified the concepts of pressure and vacuum by generalizing the work of evangelista torricelli,yes,,easy,S10_set4_a4,Blaise_Pascal
177,Qatar,qatar became an independent sovereign state in what year,on september 3 1971,,medium,S08_set2_a3,
178,,is the electric eel a true eel,no the electric eel is not a true eel,easy,hard,S10_set1_a8,Eel
179,kangaroo,who also discovered that less than three percent of kangaroos exposed to the virus developed blindness,veterinarians,,medium,S08_set1_a1,
180,,how old was anders celsius when he died,42,,medium,S09_set4_a5,Anders_Celsius
181,Abraham_Lincoln,do scholars rank lincoln among the top three presidents,yes,easy,easy,S08_set3_a4,
182,elephant,where was the largest elephant ever recorded shot,angola,medium,medium,S08_set1_a5,
183,,did faraday construct the ancestor of modern power generators,yes,hard,easy,S09_set4_a7,Michael_Faraday
184,Uruguay,can citizens propose changes to the constitution,yes people are allowed to challenge laws,easy,medium,S08_set2_a9,
185,,in what year did james travel to lodon to study instrumentmaking,1753,hard,hard,S09_set4_a2,James_Watt
186,James_Monroe,who is depicted holding the flag in the famous painting of washington crossing the delaware,monroe,,medium,S08_set3_a2,
187,,what is widely used by the lebanese especially for administrative purposes,french,,medium,S09_set5_a5,French_language
188,,what is henri becquerel,henri becquerel was a famous physicist,,easy,S09_set4_a9,Henri_Becquerel
189,,when did protouralic language arrive in finland,around 1900 bce,medium,medium,S10_set5_a5,Finnish_language
190,Abraham_Lincoln,was abraham lincoln the first president of the united states,no,easy,medium,S08_set3_a4,
191,penguin,what happened in a region not quite 2000 km south of the equator 35 mya,at least one giant penguin,,medium,S08_set1_a3,
192,Anders_Celsius,what is named after him,the celsius crater on the moon,,medium,S08_set4_a5,
193,,how did vespoid wasps evolve,from predatory ancestors,hard,medium,S09_set1_a8,Bee
194,,was education another area  of service  for faraday,yes,,easy,S09_set4_a7,Michael_Faraday
195,penguin,do penguins have a better than average sense of hearing for birds,yes,easy,easy,S08_set1_a3,
196,,what religion holds majority in melbourne,christianity,hard,too hard,S10_set3_a2,Melbourne
197,Liechtenstein,was liechtenstein completed in november 2000,no,,medium,S08_set2_a1,
198,otter,does the giant otter inhabit south africa,no,easy,easy,S08_set1_a7,
199,,what is the official language of turkey,turkish is the official language of turkey,medium,medium,S10_set5_a8,Turkish_language
200,penguin,is it not even known whether the gigantic palaeeudyptines constitute a monophyletic lineage  or whether gigantism was evolved independently in a much restricted palaeeudyptinae and the anthropornithinae,it is not even known,,medium,S08_set1_a3,
201,,is golden gate park the largest city park,yes,easy,easy,S10_set3_a8,San_Francisco
202,,what does avogadros law state,the relationship between the masses of the same volume of different gases at the same temperature and pressure corresponds to the relationship between their respective molecular weights,medium,hard,S10_set4_a8,Amedeo_Avogadro
203,,where do giant pandas live,sichuan province shaanxi and gansu provinces,medium,medium,S10_set1_a4,Giant_Panda
204,,what does avogadros law state,avogadros law states that the relationship between the masses of the same volume of different gases at the same temperature and pressure corresponds to the relationship between their respective molecular weights,medium,too hard,S10_set4_a8,Amedeo_Avogadro
205,,where did the xylophone originate,indonesia,medium,medium,S09_set2_a8,Xylophone
206,beetle,may a single female lay from several dozen to several thousand eggs during her lifetime,yes,,easy,S08_set1_a8,
207,,how does swahili time run,swahili time runs from dawn to dusk,medium,medium,S10_set5_a4,Swahili_language
208,kangaroo,is a collision with a vehicle capable of killing a kangaroo,yes,,easy,S08_set1_a1,
209,,where is the mouth of an octopus,the mouth of an octopus is at the center point of the arms,medium,medium,S10_set1_a10,Octopus
210,,where are the only surviving giant tortoises,seychelles and galï½pagos islands,medium,easy,S09_set1_a4,Turtle
211,,had the language already been used as the lingua franca throughout the archipelago since the 15th century,yes,,easy,S10_set5_a2,Malay_language
212,,how old was celsius when he died,42,hard,hard,S09_set4_a5,Anders_Celsius
213,,what does the name kuala lumpur mean,muddy confluence muddy estuary and muddy city,medium,medium,S10_set3_a3,Kuala_Lumpur
214,,is san francisco also the financial cultural and transportation center of the larger san francisco bay area a region of 74 million people,yes,,easy,S10_set3_a8,San_Francisco
215,kangaroo,is a kangaroo on the australian coat of arms,yes,easy,medium,S08_set1_a1,
216,,is the violin a percussion instrument,yes,hard,hard,S10_set2_a2,Violin
217,,why is the giant panda an endangered species,it is threatened by continued habitat loss and by a very low birthrate,hard,hard,S10_set1_a4,Giant_Panda
218,Egypt,why does most of egypts population live near the nile,the only arable agricultural land is found there,hard,hard,S08_set2_a6,
219,,is eel blood toxic to humans,yes eel blood is toxic to humans,easy,easy,S10_set1_a8,Eel
220,Abraham_Lincoln,what trail did lincoln use a farmers almanac in,he defended william duff armstrong,hard,hard,S08_set3_a4,
221,,what is the official religion in the country,islam,medium,medium,S10_set3_a3,Kuala_Lumpur
222,Romania,was the bucharest metro only opened in 1979,yes,,easy,S08_set2_a7,
223,,what can be augmented with a fourth valve,the flugelhorn,hard,hard,S10_set2_a3,Trumpet
224,,was he regarded as a mostly reclusive artist,yes he was regarded as a mostly reclusive artist,,easy,S10_set6_a9,Jackson_Pollock
225,Gerald_Ford,had fords wife married before,no,hard,hard,S08_set3_a10,
226,Finland,who is the most popular rock group in finland,cmx,medium,hard,S08_set2_a4,
227,,which berlin building did architect norman foster remodel in the 1990s,the reichstag building was remodeled by architect norman foster in the 1990s,hard,medium,S10_set3_a1,Berlin
228,,why is copenhagen a regional hub,its strategic location and excellent infrastructure,medium,hard,S09_set3_a8,Copenhagen
229,,is french taught in many schools as a primary language along with arabic,yes,,easy,S09_set5_a5,French_language
230,Uruguay,is uruguay located in south america,yes its located in the southeastern part,easy,easy,S08_set2_a9,
231,Theodore_Roosevelt,how did newspapers respond to roosevelt inviting brooker t washington to dinner at the white house,mixing of the races on social occassions,hard,hard,S08_set3_a7,
232,,when did coulomb return to paris,in 1759,,medium,S10_set4_a6,Charles-Augustin_de_Coulomb
233,,in which place is lyre still played,northeastern parts of africa,medium,medium,S09_set2_a10,Lyre
234,,for how long has the classification of dialects spoken outside of finland been a controversial issue,since finlands independence in 1917,hard,medium,S10_set5_a5,Finnish_language
235,Singapore,do singaporeans enjoy squid,yes,easy,easy,S08_set2_a2,
236,,is it true that he published a collection of 316 observations,yes,,easy,S09_set4_a5,Anders_Celsius
237,,what are the ant colonies that lack queens called,colonies that lack queens are called gamergate colonies,medium,medium,S10_set1_a1,Ant
238,,do ants belong to the hymenoptera order,yes,easy,easy,S10_set1_a1,Ant
239,,is rainfall very low,yes,,easy,S09_set3_a4,Lima
240,Abraham_Lincoln,how many long was lincolns formal education,18 months,medium,easy,S08_set3_a4,
241,turtle,how many suborders are turtles divided into,three,medium,medium,S08_set1_a9,
242,,does every drumhead make the same sound,no,hard,easy,S10_set2_a4,Drum
243,,in what year did germany seize tanganyika,1886,hard,medium,S10_set5_a4,Swahili_language
244,,what is the best known story about a swan,the ugly duckling fable,medium,medium,S09_set1_a10,Swan
245,,james watt ranked first among how many people in charles murrays survey of historiometry,229,medium,medium,S09_set4_a2,James_Watt
246,,when did anders celcius publish his observations on the aurora borealis,1733,easy,medium,S09_set4_a5,Anders_Celsius
247,,do lobsters feel pain,yes,hard,medium,S10_set1_a5,Lobster
248,,where is san francisco,san francisco is located on the west coast of the united states at the tip of the san francisco peninsula,medium,medium,S10_set3_a8,San_Francisco
249,polar_bear,what is cause of polar bears skin diseases,mites or other parasites,hard,medium,S08_set1_a4,
250,,what do tigers powerfully built legs and shoulders allow tigers to do,they have the ability to pull down prey substantially heavier than themselves,medium,medium,S09_set1_a3,Tiger
251,John_Adams,did john adams represent the continental congress in europe,yes,easy,easy,S08_set3_a1,
252,Egypt,why does most of egypts population live near the nile,the only arable agricultural land is found there,hard,medium,S08_set2_a6,
253,,is nassau county named after a german town,yes,hard,hard,S09_set3_a2,Nassau
254,Anders_Celsius,is the celsius crater on the moon named after him,yes,,easy,S08_set4_a5,
255,,does the world conservation union consider the cougar a least concern species,yes,easy,easy,S10_set1_a2,Cougar
256,,how long was alessandro volta a professor at the university of pavia,alessandro volta was a professor at the university of pavia for almost 25 years,hard,hard,S10_set4_a10,Alessandro_Volta
257,,does the word violin come from the middle latin word vitula meaning stringed instrument,yes,,easy,S10_set2_a2,Violin
258,,how long do most foxes live,2 to 3 years,medium,medium,S09_set1_a6,Fox
259,,what is the si unit for radioactivity called,the becquerel bq,medium,medium,S10_set4_a9,Henri_Becquerel
260,,where is arabic spoken,the middle east and north africa,medium,medium,S10_set5_a3,Arabic_language
261,,where was avogadro a professor of physics,university of turin,medium,medium,S09_set4_a8,Amedeo_Avogadro
262,,how many species of zebra are there,three,medium,medium,S10_set1_a9,Zebra
263,,can turtles spend all their time underwater,no,hard,easy,S09_set1_a9,Turtle
264,,whom are guitars made and repaired by,luthiers,medium,medium,S10_set2_a7,Guitar
265,Finland,what is the most extensively celebrated holiday,christmas is the most extensively celebrated holiday,medium,medium,S08_set2_a4,
266,,do koalas have a slow metabolism,yes,,easy,S10_set1_a3,Koala
267,,where is the violincello held,the violincello is held on the shoulder,hard,hard,S09_set2_a9,Cello
268,otter,where do sea otters live,the sea otter lives actually in the sea,medium,medium,S08_set1_a7,
269,,what is the sustain pedal called,damper pedal,medium,medium,S10_set2_a1,Piano
270,,does the portuguese language have its roots in the latin language,yes,easy,medium,S10_set5_a1,Portuguese_language
271,,what is the range of lifespans of the octopus,the octopus has a short lifespan,hard,easy,S10_set1_a10,Octopus
272,Nikola_Tesla,have a number of live theatrical plays based on tesla s life been produced and staged worldwide,yes,,easy,S08_set4_a3,
273,,which came first the xylophone or the vibraphone,the xylophone,hard,hard,S10_set2_a8,Xylophone
274,,how many occupation zones was germany divided into after the war,germany was divided into four occupation zones after the war,hard,hard,S10_set3_a1,Berlin
275,,is the breeze eazy  method sometimes used to teach younger students,yes,,easy,S10_set2_a3,Trumpet
276,,give an example of the ten beta world cities,san trancisco,,medium,S10_set3_a8,San_Francisco
277,,what foods do pandas eat,bamboo honeys eggs fish yams shrub leaves oranges and bananas,hard,medium,S10_set1_a4,Giant_Panda
278,,how many strings does a violin usually have,four,medium,medium,S09_set2_a2,Violin
279,leopard,is the black color heritable and caused by only one recessive gene locus,yes,,easy,S08_set1_a2,
280,Woodrow_Wilson,where did wilson attend law school,university of virginia,medium,medium,S08_set3_a8,
281,Canada,what is canadas national unemployment rate,in october 2007 canadas national unemployment rate is 59,medium,medium,S08_set2_a8,
